编码,日期,销量
1001,20150501,6.0
1001,20150502,9.0
1001,20150503,12.0
1001,20150504,6.0
1001,20150505,7.0
1001,20150506,16.0
1001,20150507,10.0
1001,20150508,8.0
1001,20150509,6.0
1001,20150510,11.0
1001,20150511,6.0
1001,20150512,6.0
1001,20150513,20.0
1001,20150514,8.0
1001,20150515,10.0
1001,20150516,4.0
1001,20150517,7.0
1001,20150518,4.0
1001,20150519,8.0
1001,20150520,17.0
1001,20150521,8.0
1001,20150522,9.0
1001,20150523,7.0
1001,20150524,10.0
1001,20150525,8.0
1001,20150526,10.0
1001,20150527,14.0
1001,20150528,7.0
1001,20150529,9.0
1001,20150530,5.0
1002,20150501,1.0
1002,20150502,1.0
1002,20150503,0.0
1002,20150504,1.0
1002,20150505,0.0
1002,20150506,1.0
1002,20150507,0.0
1002,20150508,0.0
1002,20150509,0.0
1002,20150510,0.0
1002,20150511,0.0
1002,20150512,0.0
1002,20150513,0.0
1002,20150514,0.0
1002,20150515,1.0
1002,20150516,1.0
1002,20150517,0.0
1002,20150518,0.0
1002,20150519,0.0
1002,20150520,0.0
1002,20150521,0.0
1002,20150522,0.0
1002,20150523,0.0
1002,20150524,0.0
1002,20150525,0.0
1002,20150526,0.0
1002,20150527,0.0
1002,20150528,0.0
1002,20150529,0.0
1002,20150530,1.0
1004,20150501,1.0
1004,20150502,2.0
1004,20150503,3.0
1004,20150504,1.0
1004,20150505,2.0
1004,20150506,2.0
1004,20150507,2.0
1004,20150508,1.0
1004,20150509,2.0
1004,20150510,3.0
1004,20150511,2.0
1004,20150512,2.0
1004,20150513,1.0
1004,20150514,2.0
1004,20150515,1.0
1004,20150516,2.0
1004,20150517,1.0
1004,20150518,3.0
1004,20150519,2.0
1004,20150520,4.0
1004,20150521,2.0
1004,20150522,2.0
1004,20150523,1.0
1004,20150524,1.0
1004,20150525,1.0
1004,20150526,3.0
1004,20150527,4.0
1004,20150528,4.0
1004,20150529,3.0
1004,20150530,2.0
1005,20150501,0.0
1005,20150502,0.0
1005,20150503,0.0
1005,20150504,0.0
1005,20150505,0.0
1005,20150506,0.0
1005,20150507,0.0
1005,20150508,0.0
1005,20150509,0.0
1005,20150510,0.0
1005,20150511,0.0
1005,20150512,0.0
1005,20150513,0.0
1005,20150514,0.0
1005,20150515,0.0
1005,20150516,0.0
1005,20150517,0.0
1005,20150518,0.0
1005,20150519,0.0
1005,20150520,0.0
1005,20150521,0.0
1005,20150522,0.0
1005,20150523,0.0
1005,20150524,0.0
1005,20150525,0.0
1005,20150526,0.0
1005,20150527,1.0
1005,20150528,0.0
1005,20150529,0.0
1005,20150530,0.0
1099,20150501,0.0
1099,20150502,0.0
1099,20150503,0.0
1099,20150504,0.0
1099,20150505,0.0
1099,20150506,0.0
1099,20150507,0.0
1099,20150508,0.0
1099,20150509,0.0
1099,20150510,0.0
1099,20150511,0.0
1099,20150512,0.0
1099,20150513,0.0
1099,20150514,0.0
1099,20150515,0.0
1099,20150516,0.0
1099,20150517,0.0
1099,20150518,0.0
1099,20150519,0.0
1099,20150520,0.0
1099,20150521,0.0
1099,20150522,0.0
1099,20150523,0.0
1099,20150524,0.0
1099,20150525,0.0
1099,20150526,0.0
1099,20150527,0.0
1099,20150528,0.0
1099,20150529,0.0
1099,20150530,0.0
1101,20150501,1.0
1101,20150502,1.0
1101,20150503,1.0
1101,20150504,1.0
1101,20150505,1.0
1101,20150506,2.0
1101,20150507,1.0
1101,20150508,1.0
1101,20150509,1.0
1101,20150510,2.0
1101,20150511,1.0
1101,20150512,1.0
1101,20150513,1.0
1101,20150514,1.0
1101,20150515,1.0
1101,20150516,1.0
1101,20150517,2.0
1101,20150518,1.0
1101,20150519,0.0
1101,20150520,1.0
1101,20150521,1.0
1101,20150522,0.0
1101,20150523,0.0
1101,20150524,0.0
1101,20150525,0.0
1101,20150526,0.0
1101,20150527,0.0
1101,20150528,0.0
1101,20150529,0.0
1101,20150530,1.0
1102,20150501,0.0
1102,20150502,1.0
1102,20150503,0.0
1102,20150504,0.0
1102,20150505,1.0
1102,20150506,2.0
1102,20150507,1.0
1102,20150508,0.0
1102,20150509,1.0
1102,20150510,0.0
1102,20150511,0.0
1102,20150512,1.0
1102,20150513,1.0
1102,20150514,1.0
1102,20150515,0.0
1102,20150516,1.0
1102,20150517,0.0
1102,20150518,1.0
1102,20150519,1.0
1102,20150520,4.0
1102,20150521,0.0
1102,20150522,1.0
1102,20150523,0.0
1102,20150524,0.0
1102,20150525,0.0
1102,20150526,1.0
1102,20150527,2.0
1102,20150528,0.0
1102,20150529,0.0
1102,20150530,0.0
1103,20150501,0.0
1103,20150502,0.0
1103,20150503,0.0
1103,20150504,0.0
1103,20150505,0.0
1103,20150506,0.0
1103,20150507,0.0
1103,20150508,0.0
1103,20150509,0.0
1103,20150510,0.0
1103,20150511,1.0
1103,20150512,0.0
1103,20150513,0.0
1103,20150514,0.0
1103,20150515,0.0
1103,20150516,0.0
1103,20150517,0.0
1103,20150518,0.0
1103,20150519,0.0
1103,20150520,0.0
1103,20150521,0.0
1103,20150522,0.0
1103,20150523,0.0
1103,20150524,0.0
