bianma,riqi,xiaoliang
1001,20150901,1
1001,20150902,1
1001,20150903,1
1001,20150904,1
1001,20150905,1
1001,20150906,1
1001,20150907,1
1001,20150908,1
1001,20150909,1
1001,20150911,1
1001,20150912,1
1001,20150913,1
1001,20150914,1
1001,20150915,1
1001,20150916,1
1001,20150917,1
1001,20150918,1
1001,20150919,1
1001,20150920,1
1001,20150921,1
1001,20150922,1
1001,20150923,1
1001,20150924,1
1001,20150925,1
1001,20150926,1
1001,20150927,1
1001,20150928,1
1001,20150929,1
1001,20150930,1
1001,20151001,1
1001,20151002,1
1001,20151003,1
1001,20151004,1
1001,20151005,1
1001,20151006,1
1001,20151007,1
1001,20151008,1
1001,20151009,1
1001,20151010,1
1001,20151011,1
1001,20151012,1
1001,20151013,1
1001,20151014,1
1001,20151015,1
1001,20151016,1
1001,20151017,1
1001,20151018,1
1001,20151019,1
1001,20151020,1
1001,20151021,1
1001,20151022,1
1001,20151023,1
1001,20151024,1
1001,20151025,1
1001,20151026,1
1001,20151027,1
1001,20151028,1
1001,20151029,1
1002,20150901,1
1002,20150902,1
1002,20150903,1
1002,20150904,1
1002,20150905,1
1002,20150906,1
1002,20150907,1
1002,20150908,1
1002,20150909,1
1002,20150911,1
1002,20150912,1
1002,20150913,1
1002,20150914,1
1002,20150915,1
1002,20150916,1
1002,20150917,1
1002,20150918,1
1002,20150919,1
1002,20150920,1
1002,20150921,1
1002,20150922,1
1002,20150923,1
1002,20150924,1
1002,20150925,1
1002,20150926,1
1002,20150927,1
1002,20150928,1
1002,20150929,1
1002,20150930,1
1002,20151001,1
1002,20151002,1
1002,20151003,1
1002,20151004,1
1002,20151005,1
1002,20151006,1
1002,20151007,1
1002,20151008,1
1002,20151009,1
1002,20151010,1
1002,20151011,1
1002,20151012,1
1002,20151013,1
1002,20151014,1
1002,20151015,1
1002,20151016,1
1002,20151017,1
1002,20151018,1
1002,20151019,1
1002,20151020,1
1002,20151021,1
1002,20151022,1
1002,20151023,1
1002,20151024,1
1002,20151025,1
1002,20151026,1
1002,20151027,1
1002,20151028,1
1002,20151029,1
1004,20150901,1
1004,20150902,1
1004,20150903,1
1004,20150904,1
1004,20150905,1
1004,20150906,1
1004,20150907,1
1004,20150908,1
1004,20150909,1
1004,20150911,1
1004,20150912,1
1004,20150913,1
1004,20150914,1
1004,20150915,1
1004,20150916,1
1004,20150917,1
1004,20150918,1
1004,20150919,1
1004,20150920,1
1004,20150921,1
1004,20150922,1
1004,20150923,1
1004,20150924,1
1004,20150925,1
1004,20150926,1
1004,20150927,1
1004,20150928,1
1004,20150929,1
1004,20150930,1
1004,20151001,1
1004,20151002,1
1004,20151003,1
1004,20151004,1
1004,20151005,1
1004,20151006,1
1004,20151007,1
1004,20151008,1
1004,20151009,1
1004,20151010,1
1004,20151011,1
1004,20151012,1
1004,20151013,1
1004,20151014,1
1004,20151015,1
1004,20151016,1
1004,20151017,1
1004,20151018,1
1004,20151019,1
1004,20151020,1
1004,20151021,1
1004,20151022,1
1004,20151023,1
1004,20151024,1
1004,20151025,1
1004,20151026,1
1004,20151027,1
1004,20151028,1
1004,20151029,1
1101,20150901,1
1101,20150902,1
1101,20150903,1
1101,20150904,1
1101,20150905,1
1101,20150906,1
1101,20150907,1
1101,20150908,1
1101,20150909,1
1101,20150911,1
1101,20150912,1
1101,20150913,1
1101,20150914,1
1101,20150915,1
1101,20150916,1
1101,20150917,1
1101,20150918,1
1101,20150919,1
1101,20150920,1
1101,20150921,1
1101,20150922,1
1101,20150923,1
1101,20150924,1
1101,20150925,1
1101,20150926,1
1101,20150927,1
1101,20150928,1
1101,20150929,1
1101,20150930,1
1101,20151001,1
1101,20151002,1
1101,20151003,1
1101,20151004,1
1101,20151005,1
1101,20151006,1
1101,20151007,1
1101,20151008,1
1101,20151009,1
1101,20151010,1
1101,20151011,1
1101,20151012,1
1101,20151013,1
1101,20151014,1
1101,20151015,1
1101,20151016,1
1101,20151017,1
1101,20151018,1
1101,20151019,1
1101,20151020,1
1101,20151021,1
1101,20151022,1
1101,20151023,1
1101,20151024,1
1101,20151025,1
1101,20151026,1
1101,20151027,1
1101,20151028,1
1101,20151029,1
1102,20150901,1
1102,20150902,1
1102,20150903,1
1102,20150904,1
1102,20150905,1
1102,20150906,1
1102,20150907,1
1102,20150908,1
1102,20150909,1
1102,20150911,1
1102,20150912,1
1102,20150913,1
1102,20150914,1
1102,20150915,1
1102,20150916,1
1102,20150917,1
1102,20150918,1
1102,20150919,1
1102,20150920,1
1102,20150921,1
1102,20150922,1
1102,20150923,1
1102,20150924,1
1102,20150925,1
1102,20150926,1
1102,20150927,1
1102,20150928,1
1102,20150929,1
1102,20150930,1
1102,20151001,1
1102,20151002,1
1102,20151003,1
1102,20151004,1
1102,20151005,1
1102,20151006,1
1102,20151007,1
1102,20151008,1
1102,20151009,1
1102,20151010,1
1102,20151011,1
1102,20151012,1
1102,20151013,1
1102,20151014,1
1102,20151015,1
1102,20151016,1
1102,20151017,1
1102,20151018,1
1102,20151019,1
1102,20151020,1
1102,20151021,1
1102,20151022,1
1102,20151023,1
1102,20151024,1
1102,20151025,1
1102,20151026,1
1102,20151027,1
1102,20151028,1
1102,20151029,1
1201,20150901,1
1201,20150902,1
1201,20150903,1
1201,20150904,1
1201,20150905,1
1201,20150906,1
1201,20150907,1
1201,20150908,1
1201,20150909,1
1201,20150911,1
1201,20150912,1
1201,20150913,1
1201,20150914,1
1201,20150915,1
1201,20150916,1
1201,20150917,1
1201,20150918,1
1201,20150919,1
1201,20150920,1
1201,20150921,1
1201,20150922,1
1201,20150923,1
1201,20150924,1
1201,20150925,1
1201,20150926,1
1201,20150927,1
1201,20150928,1
1201,20150929,1
1201,20150930,1
1201,20151001,1
1201,20151002,1
1201,20151003,1
1201,20151004,1
1201,20151005,1
1201,20151006,1
1201,20151007,1
1201,20151008,1
1201,20151009,1
1201,20151010,1
1201,20151011,1
1201,20151012,1
1201,20151013,1
1201,20151014,1
1201,20151015,1
1201,20151016,1
1201,20151017,1
1201,20151018,1
1201,20151019,1
1201,20151020,1
1201,20151021,1
1201,20151022,1
1201,20151023,1
1201,20151024,1
1201,20151025,1
1201,20151026,1
1201,20151027,1
1201,20151028,1
1201,20151029,1
1202,20150901,1
1202,20150902,1
1202,20150903,1
1202,20150904,1
1202,20150905,1
1202,20150906,1
1202,20150907,1
1202,20150908,1
1202,20150909,1
1202,20150911,1
1202,20150912,1
1202,20150913,1
1202,20150914,1
1202,20150915,1
1202,20150916,1
1202,20150917,1
1202,20150918,1
1202,20150919,1
1202,20150920,1
1202,20150921,1
1202,20150922,1
1202,20150923,1
1202,20150924,1
1202,20150925,1
1202,20150926,1
1202,20150927,1
1202,20150928,1
1202,20150929,1
1202,20150930,1
1202,20151001,1
1202,20151002,1
1202,20151003,1
1202,20151004,1
1202,20151005,1
1202,20151006,1
1202,20151007,1
1202,20151008,1
1202,20151009,1
1202,20151010,1
1202,20151011,1
1202,20151012,1
1202,20151013,1
1202,20151014,1
1202,20151015,1
1202,20151016,1
1202,20151017,1
1202,20151018,1
1202,20151019,1
1202,20151020,1
1202,20151021,1
1202,20151022,1
1202,20151023,1
1202,20151024,1
1202,20151025,1
1202,20151026,1
1202,20151027,1
1202,20151028,1
1202,20151029,1
1203,20150901,1
1203,20150902,1
1203,20150903,1
1203,20150904,1
1203,20150905,1
1203,20150906,1
1203,20150907,1
1203,20150908,1
1203,20150909,1
1203,20150911,1
1203,20150912,1
1203,20150913,1
1203,20150914,1
1203,20150915,1
1203,20150916,1
1203,20150917,1
1203,20150918,1
1203,20150919,1
1203,20150920,1
1203,20150921,1
1203,20150922,1
1203,20150923,1
1203,20150924,1
1203,20150925,1
1203,20150926,1
1203,20150927,1
1203,20150928,1
1203,20150929,1
1203,20150930,1
1203,20151001,1
1203,20151002,1
1203,20151003,1
1203,20151004,1
1203,20151005,1
1203,20151006,1
1203,20151007,1
1203,20151008,1
1203,20151009,1
1203,20151010,1
1203,20151011,1
1203,20151012,1
1203,20151013,1
1203,20151014,1
1203,20151015,1
1203,20151016,1
1203,20151017,1
1203,20151018,1
1203,20151019,1
1203,20151020,1
1203,20151021,1
1203,20151022,1
1203,20151023,1
1203,20151024,1
1203,20151025,1
1203,20151026,1
1203,20151027,1
1203,20151028,1
1203,20151029,1
1205,20150901,1
1205,20150902,1
1205,20150903,1
1205,20150904,1
1205,20150905,1
1205,20150906,1
1205,20150907,1
1205,20150908,1
1205,20150909,1
1205,20150911,1
1205,20150912,1
1205,20150913,1
1205,20150914,1
1205,20150915,1
1205,20150916,1
1205,20150917,1
1205,20150918,1
1205,20150919,1
1205,20150920,1
1205,20150921,1
1205,20150922,1
1205,20150923,1
1205,20150924,1
1205,20150925,1
1205,20150926,1
1205,20150927,1
1205,20150928,1
1205,20150929,1
1205,20150930,1
1205,20151001,1
1205,20151002,1
1205,20151003,1
1205,20151004,1
1205,20151005,1
1205,20151006,1
1205,20151007,1
1205,20151008,1
1205,20151009,1
1205,20151010,1
1205,20151011,1
1205,20151012,1
1205,20151013,1
1205,20151014,1
1205,20151015,1
1205,20151016,1
1205,20151017,1
1205,20151018,1
1205,20151019,1
1205,20151020,1
1205,20151021,1
1205,20151022,1
1205,20151023,1
1205,20151024,1
1205,20151025,1
1205,20151026,1
1205,20151027,1
1205,20151028,1
1205,20151029,1
1301,20150901,1
1301,20150902,1
1301,20150903,1
1301,20150904,1
1301,20150905,1
1301,20150906,1
1301,20150907,1
1301,20150908,1
1301,20150909,1
1301,20150911,1
1301,20150912,1
1301,20150913,1
1301,20150914,1
1301,20150915,1
1301,20150916,1
1301,20150917,1
1301,20150918,1
1301,20150919,1
1301,20150920,1
1301,20150921,1
1301,20150922,1
1301,20150923,1
1301,20150924,1
1301,20150925,1
1301,20150926,1
1301,20150927,1
1301,20150928,1
1301,20150929,1
1301,20150930,1
1301,20151001,1
1301,20151002,1
1301,20151003,1
1301,20151004,1
1301,20151005,1
1301,20151006,1
1301,20151007,1
1301,20151008,1
1301,20151009,1
1301,20151010,1
1301,20151011,1
1301,20151012,1
1301,20151013,1
1301,20151014,1
1301,20151015,1
1301,20151016,1
1301,20151017,1
1301,20151018,1
1301,20151019,1
1301,20151020,1
1301,20151021,1
1301,20151022,1
1301,20151023,1
1301,20151024,1
1301,20151025,1
1301,20151026,1
1301,20151027,1
1301,20151028,1
1301,20151029,1
1302,20150901,1
1302,20150902,1
1302,20150903,1
1302,20150904,1
