(Midclass 1001 select SARIMA, accuracy: 4.164104)
(Midclass 1002 select SARIMA, accuracy: 0.530263)
(Midclass 1004 select SARIMA, accuracy: 2.009439)
(Midclass 1005 select ZERO, accuracy: 0.377964)
(Midclass 1099 select SARIMA, accuracy: 0.195678)
(Midclass 1101 select SARIMA, accuracy: 1.562947)
(Midclass 1102 select SARIMA, accuracy: 0.875281)
(Midclass 1103 select SARIMA, accuracy: 0.415788)
(Midclass 1201 select SARIMA, accuracy: 22.207918)
(Midclass 1202 select SARIMA, accuracy: 2.736437)
(Midclass 1203 select SARIMA, accuracy: 11.184439)
(Midclass 1205 select SARIMA, accuracy: 0.846538)
(Midclass 1301 select XGBOOST, accuracy: 1.802102)
(Midclass 1302 select SARIMA, accuracy: 1.113745)
(Midclass 1306 select XGBOOST, accuracy: 0.668731)
(Midclass 1308 select SARIMA, accuracy: 3.409499)
(Midclass 1501 select XGBOOST, accuracy: 1.607822)
(Midclass 1502 select SARIMA, accuracy: 0.649425)
(Midclass 1503 select XGBOOST, accuracy: 0.854608)
(Midclass 1504 select ZERO, accuracy: 0.577350)
(Midclass 1505 select SARIMA, accuracy: 5.885219)
(Midclass 1507 select ZERO, accuracy: 0.000000)
(Midclass 1508 select SARIMA, accuracy: 0.998574)
(Midclass 1510 select SARIMA, accuracy: 1.002930)
(Midclass 1511 select SARIMA, accuracy: 0.207669)
(Midclass 1512 select XGBOOST, accuracy: 0.536687)
(Midclass 1513 select SARIMA, accuracy: 1.473901)
(Midclass 1515 select SARIMA, accuracy: 1.343283)
(Midclass 1516 select XGBOOST, accuracy: 1.640316)
(Midclass 1517 select XGBOOST, accuracy: 2.080571)
(Midclass 1518 select SARIMA, accuracy: 5.853074)
(Midclass 1519 select XGBOOST, accuracy: 1.276925)
(Midclass 1521 select SARIMA, accuracy: 3.578035)
(Midclass 2001 select ZERO, accuracy: 2.203893)
(Midclass 2002 select SARIMA, accuracy: 1.330328)
(Midclass 2003 select XGBOOST, accuracy: 1.401267)
(Midclass 2004 select SARIMA, accuracy: 0.204031)
(Midclass 2005 select SARIMA, accuracy: 1.984291)
(Midclass 2006 select XGBOOST, accuracy: 3.567574)
(Midclass 2007 select SARIMA, accuracy: 2.002037)
(Midclass 2008 select SARIMA, accuracy: 2.831727)
(Midclass 2009 select SARIMA, accuracy: 2.368810)
(Midclass 2010 select XGBOOST, accuracy: 1.422014)
(Midclass 2011 select SARIMA, accuracy: 7.890765)
(Midclass 2012 select XGBOOST, accuracy: 0.779130)
(Midclass 2013 select SARIMA, accuracy: 3.032853)
(Midclass 2014 select SARIMA, accuracy: 4.112845)
(Midclass 2015 select XGBOOST, accuracy: 1.717115)
(Midclass 2101 select XGBOOST, accuracy: 0.531832)
(Midclass 2102 select ZERO, accuracy: 0.377964)
(Midclass 2103 select SARIMA, accuracy: 0.951623)
(Midclass 2104 select SARIMA, accuracy: 1.087212)
(Midclass 2105 select SARIMA, accuracy: 1.209021)
(Midclass 2106 select XGBOOST, accuracy: 0.528829)
(Midclass 2107 select ZERO, accuracy: 0.000000)
(Midclass 2201 select SARIMA, accuracy: 5.789172)
(Midclass 2202 select SARIMA, accuracy: 7.402780)
(Midclass 2203 select SARIMA, accuracy: 7.110155)
(Midclass 2204 select SARIMA, accuracy: 3.052818)
(Midclass 2205 select SARIMA, accuracy: 3.604804)
(Midclass 2206 select SARIMA, accuracy: 4.279676)
(Midclass 2207 select SARIMA, accuracy: 2.793577)
(Midclass 2208 select SARIMA, accuracy: 1.795416)
