bianma,riqi,xiaoliang
1001,20150901,9
1001,20150902,12
1001,20150903,8
1001,20150904,8
1001,20150905,7
1001,20150906,8
1001,20150907,9
1001,20150908,9
1001,20150909,12
1001,20150911,8
1001,20150912,7
1001,20150913,8
1001,20150914,9
1001,20150915,9
1001,20150916,12
1001,20150917,8
1001,20150918,8
1001,20150919,7
1001,20150920,8
1001,20150921,9
1001,20150922,9
1001,20150923,12
1001,20150924,8
1001,20150925,8
1001,20150926,7
1001,20150927,8
1001,20150928,9
1001,20150929,9
1001,20150930,12
1001,20151001,7
1001,20151002,7
1001,20151003,7
1001,20151004,8
1001,20151005,8
1001,20151006,8
1001,20151007,11
1001,20151008,8
1001,20151009,8
1001,20151010,8
1001,20151011,8
1001,20151012,9
1001,20151013,9
1001,20151014,12
1001,20151015,8
1001,20151016,8
1001,20151017,7
1001,20151018,8
1001,20151019,9
1001,20151020,9
1001,20151021,12
1001,20151022,8
1001,20151023,8
1001,20151024,7
1001,20151025,8
1001,20151026,9
1001,20151027,9
1001,20151028,12
1001,20151029,8
1002,20150901,0
1002,20150902,0
1002,20150903,0
1002,20150904,0
1002,20150905,0
1002,20150906,0
1002,20150907,0
1002,20150908,0
1002,20150909,0
1002,20150911,0
1002,20150912,0
1002,20150913,0
1002,20150914,0
1002,20150915,0
1002,20150916,0
1002,20150917,0
1002,20150918,0
1002,20150919,0
1002,20150920,0
1002,20150921,0
1002,20150922,0
1002,20150923,0
1002,20150924,0
1002,20150925,0
1002,20150926,0
1002,20150927,0
1002,20150928,0
1002,20150929,0
1002,20150930,0
1002,20151001,0
1002,20151002,0
1002,20151003,0
1002,20151004,0
1002,20151005,0
1002,20151006,0
1002,20151007,0
1002,20151008,0
1002,20151009,0
1002,20151010,0
1002,20151011,0
1002,20151012,0
1002,20151013,0
1002,20151014,0
1002,20151015,0
1002,20151016,0
1002,20151017,0
1002,20151018,0
1002,20151019,0
1002,20151020,0
1002,20151021,0
1002,20151022,0
1002,20151023,0
1002,20151024,0
1002,20151025,0
1002,20151026,0
1002,20151027,0
1002,20151028,0
1002,20151029,0
1004,20150901,1
1004,20150902,5
1004,20150903,1
1004,20150904,1
1004,20150905,1
1004,20150906,1
1004,20150907,1
1004,20150908,1
1004,20150909,5
1004,20150911,1
1004,20150912,1
1004,20150913,1
1004,20150914,1
1004,20150915,1
1004,20150916,5
1004,20150917,1
1004,20150918,1
1004,20150919,1
1004,20150920,1
1004,20150921,1
1004,20150922,1
1004,20150923,5
1004,20150924,1
1004,20150925,1
1004,20150926,1
1004,20150927,1
1004,20150928,1
1004,20150929,1
1004,20150930,5
1004,20151001,1
1004,20151002,1
1004,20151003,1
1004,20151004,1
1004,20151005,1
1004,20151006,1
1004,20151007,5
1004,20151008,1
1004,20151009,1
1004,20151010,1
1004,20151011,1
1004,20151012,1
1004,20151013,1
1004,20151014,5
1004,20151015,1
1004,20151016,1
1004,20151017,1
1004,20151018,1
1004,20151019,1
1004,20151020,1
1004,20151021,5
1004,20151022,1
1004,20151023,1
1004,20151024,1
1004,20151025,1
1004,20151026,1
1004,20151027,1
1004,20151028,5
1004,20151029,1
1101,20150901,1
1101,20150902,1
1101,20150903,1
1101,20150904,1
1101,20150905,1
1101,20150906,1
1101,20150907,1
1101,20150908,1
1101,20150909,1
1101,20150911,1
1101,20150912,1
1101,20150913,1
1101,20150914,1
1101,20150915,1
1101,20150916,1
1101,20150917,1
1101,20150918,1
