编码,日期,销量
1001,20150501,9
1001,20150502,6
1001,20150503,9
1001,20150504,6
1001,20150505,9
1001,20150506,17
1001,20150507,8
1001,20150508,9
1001,20150509,6
1001,20150510,9
1001,20150511,6
1001,20150512,9
1001,20150513,18
1001,20150514,8
1001,20150515,9
1001,20150516,6
1001,20150517,9
1001,20150518,6
1001,20150519,9
1001,20150520,18
1001,20150521,9
1001,20150522,9
1001,20150523,6
1001,20150524,9
1001,20150525,7
1001,20150526,9
1001,20150527,18
1001,20150528,9
1001,20150529,9
1001,20150530,7
1002,20150501,0
1002,20150502,0
1002,20150503,1
1002,20150504,0
1002,20150505,0
1002,20150506,1
1002,20150507,0
1002,20150508,0
1002,20150509,0
1002,20150510,1
1002,20150511,0
1002,20150512,0
1002,20150513,1
1002,20150514,0
1002,20150515,0
1002,20150516,0
1002,20150517,1
1002,20150518,0
1002,20150519,0
1002,20150520,1
1002,20150521,0
1002,20150522,0
1002,20150523,0
1002,20150524,1
1002,20150525,0
1002,20150526,0
1002,20150527,1
1002,20150528,0
1002,20150529,0
1002,20150530,0
1004,20150501,2
1004,20150502,2
1004,20150503,2
1004,20150504,2
1004,20150505,2
1004,20150506,4
1004,20150507,2
1004,20150508,2
1004,20150509,2
1004,20150510,2
1004,20150511,2
1004,20150512,2
1004,20150513,4
1004,20150514,2
1004,20150515,2
1004,20150516,2
1004,20150517,2
1004,20150518,2
1004,20150519,2
1004,20150520,4
1004,20150521,2
1004,20150522,2
1004,20150523,2
1004,20150524,2
1004,20150525,2
1004,20150526,2
1004,20150527,4
1004,20150528,2
1004,20150529,2
1004,20150530,2
1005,20150501,0
1005,20150502,0
1005,20150503,0
1005,20150504,0
1005,20150505,0
1005,20150506,0
1005,20150507,0
1005,20150508,0
1005,20150509,0
1005,20150510,0
1005,20150511,0
1005,20150512,0
1005,20150513,0
1005,20150514,0
1005,20150515,0
1005,20150516,0
1005,20150517,0
1005,20150518,0
1005,20150519,0
1005,20150520,0
1005,20150521,0
1005,20150522,0
1005,20150523,0
1005,20150524,0
1005,20150525,0
1005,20150526,0
1005,20150527,0
1005,20150528,0
1005,20150529,0
1005,20150530,0
1099,20150501,0
1099,20150502,0
1099,20150503,0
1099,20150504,0
1099,20150505,0
1099,20150506,0
1099,20150507,0
1099,20150508,0
1099,20150509,0
1099,20150510,0
1099,20150511,0
1099,20150512,0
1099,20150513,0
1099,20150514,0
1099,20150515,0
1099,20150516,0
1099,20150517,0
1099,20150518,0
1099,20150519,0
1099,20150520,0
1099,20150521,0
1099,20150522,0
1099,20150523,0
1099,20150524,0
1099,20150525,0
1099,20150526,0
1099,20150527,0
1099,20150528,0
1099,20150529,0
1099,20150530,0
1101,20150501,1
1101,20150502,2
1101,20150503,1
1101,20150504,1
1101,20150505,1
1101,20150506,3
1101,20150507,1
1101,20150508,1
1101,20150509,2
1101,20150510,1
1101,20150511,1
1101,20150512,1
1101,20150513,4
1101,20150514,1
1101,20150515,1
1101,20150516,2
1101,20150517,1
1101,20150518,1
1101,20150519,1
1101,20150520,4
1101,20150521,1
1101,20150522,1
1101,20150523,2
1101,20150524,1
1101,20150525,1
1101,20150526,1
1101,20150527,4
1101,20150528,1
1101,20150529,1
1101,20150530,2
1102,20150501,1
1102,20150502,1
1102,20150503,1
